md5_num v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15
bd5e3bfde89191479a22d4caba12cf79 -0.36890844 0.077178136 0.75373274 -0.07276667 -0.5800463 -0.57812506 -0.37824705 -1.4128704 0.50545406 0.25261974 0.34076044 0.015896339 0.28173366 -0.8494546 0.59043384
2e94805a4284105dbea525a56ec98e90 -0.38118264 0.0705161 0.75729257 -0.04940453 -0.58946055 -0.55689204 -0.39720502 -1.3929741 0.47061437 0.2759205 0.27986372 0.041269995 0.27105102 -0.81000495 0.60673165
3e55f9e42755d8c863c49928c8a4a9ef -0.36049062 0.10118385 0.7573251 -0.007294303 -0.6186549 -0.5466098 -0.37836707 -1.4238963 0.45511746 0.26187694 0.28844613 0.0648467 0.31017017 -0.8430655 0.6403686
5f3f869d615f8af4aab55f15ad7ec103 -0.402147 0.1462325 0.7919948 0.00741969 -0.6195993 -0.52972317 -0.33478832 -1.3671114 0.4487375 0.27300265 0.33499908 0.026175803 0.32452947 -0.830045 0.6095831
1a1d580c1d0d4a06a2e589850ce6b969 -0.31111544 0.1237893 0.7919115 -0.06840111 -0.5605707 -0.5659375 -0.40922466 -1.3474097 0.53733116 0.23860036 0.3148984 0.019639071 0.2778905 -0.86389124 0.6430638
3cdb80f7bc2d59d561014444dd6f606b -0.3566359 0.11248035 0.78496724 -0.078776196 -0.5887735 -0.5945842 -0.4264703 -1.32315 0.529414 0.2195797 0.3363272 0.038566723 0.28276706 -0.84567684 0.65879333
419d94fa97156e48082727656f098e8d -0.384201 0.14805661 0.7819645 -0.043955572 -0.5659204 -0.56595784 -0.3698336 -1.3837833 0.48441583 0.28637463 0.3635596 0.051697858 0.31919855 -0.8544506 0.6085053
22f541c4091e22bf79bbe81e5f5af6fb -0.36157522 0.13084505 0.776296 -0.040216267 -0.58504003 -0.5592567 -0.36396757 -1.3564755 0.45309538 0.22391365 0.35288668 0.030530984 0.2999444 -0.8464718 0.6044942
833f3c466eab1befaf3ba965d046bfc8 -0.37700814 0.10395184 0.78268147 0.010602596 -0.59866506 -0.5736166 -0.36156958 -1.366177 0.47879544 0.25873426 0.33511534 0.07583894 0.28711978 -0.82972276 0.6737537
e7dda1746b655d69cb48c30871021720 -0.36729428 0.123885565 0.78539985 -0.06700277 -0.5742516 -0.59832996 -0.37006655 -1.3459375 0.5259206 0.24577527 0.33265418 0.05566719 0.30963093 -0.8878065 0.6000458
